id,country,name,slug,start_date,parent
170,392.0,Kojima Productions,kojima-productions,1112313600.0,
305,246.0,Remedy Entertainment,remedy-entertainment,820368000.0,
401,840.0,Naughty Dog,naughty-dog,473299200.0,10100.0
458,578.0,Funcom,funcom,757296000.0,
578,826.0,Gremlin Interactive,gremlin-interactive,778896000.0,3212.0
818,392.0,Atlus,atlus,513216000.0,112.0
843,840.0,Harmonix Music Systems,harmonix-music-systems,788918400.0,
912,156.0,Snail Games,snail-games,,
4,826.0,Eidos Interactive,eidos-interactive,833500800.0,
25,840.0,Ion Storm,ion-storm,848016000.0,
39,250.0,Ubisoft Annecy,ubisoft-annecy,851990400.0,104.0
115,826.0,Codemasters,codemasters,504921600.0,1.0
144,203.0,GSC Game World,gsc-game-world,817257600.0,
169,724.0,MercurySteam,mercurysteam,1041292800.0,
280,752.0,Starbreeze Studios,starbreeze-studios,1041292800.0,
303,392.0,Jaleco,jaleco,149990400.0,18710.0
313,392.0,Success Corporation,success-corporation,266025600.0,
326,840.0,Cyan Worlds,cyan-worlds,567907200.0,
48,840.0,NetherRealm Studios,netherrealm-studios,1293753600.0,50.0
53,840.0,Microsoft Game Studios,microsoft-game-studios,1009843200.0,128.0
163,826.0,Climax Studios,climax-studios,1230681600.0,3248.0
567,,Mind Control,mind-control,,
961,124.0,BattleGoat Studios,battlegoat-studios,,
1021,840.0,WayForward Technologies,wayforward-technologies,662601600.0,
1022,840.0,Turn 10 Studios,turn-10-studios,1009756800.0,17966.0
1151,392.0,Game Arts,game-arts,478569600.0,2016.0
1371,,General Arcade,general-arcade,,
2272,,HandMade Games,handmade-games,,
213,250.0,Infogrames,infogrames,424483200.0,
260,,Argonaut Games,argonaut-games,,
414,191.0,Croteam,croteam,757296000.0,
437,752.0,Avalanche Studios,avalanche-studios,1046476800.0,45681.0
862,392.0,Tamsoft,tamsoft,709516800.0,
1440,392.0,Taito Corporation,taito-corporation,-505008000.0,26.0
1445,276.0,Rainbow Arts,rainbow-arts,473299200.0,
1612,752.0,Pan Vision,pan-vision,1009756800.0,
1613,840.0,Incognito Entertainment,incognito-entertainment,925516800.0,45.0
1640,840.0,"Discord Games, Inc.",discord-games-inc,1312156800.0,8623.0
128,840.0,Microsoft,microsoft,165801600.0,
334,,Sony Computer Entertainment Europe,sony-computer-entertainment-europe,,
365,826.0,Rockstar North,rockstar-north,1041292800.0,29.0
426,840.0,Disney Interactive Studios,disney-interactive-studios,1199059200.0,95.0
427,246.0,Bugbear Entertainment,bugbear-entertainment,951868800.0,10075.0
696,124.0,HB Studios,hb-studios,,
774,616.0,QLOC,qloc,1262217600.0,8623.0
822,702.0,Ubisoft Singapore,ubisoft-singapore,1214870400.0,104.0
891,36.0,Halfbrick Studios,halfbrick-studios,1009756800.0,
893,616.0,The Farm 51,the-farm-51,,
95,840.0,Disney Interactive,disney-interactive,599529600.0,13016.0
131,840.0,Robot Entertainment,robot-entertainment,1262217600.0,
321,392.0,Tose,tose,310262400.0,
530,643.0,Eagle Dynamics,eagle-dynamics,694137600.0,
966,642.0,KillHouse Games,killhouse-games,1356912000.0,
1010,,Microsoft Studios,microsoft-studios,1325289600.0,128.0
1659,203.0,Keen Software House,keen-software-house,1293753600.0,
2463,246.0,Secret Exit,secret-exit,,
2490,,Kunos Simulazioni,kunos-simulazioni,,
2614,840.0,Arcen Games,arcen-games,1262217600.0,
23,826.0,Feral Interactive,feral-interactive,851990400.0,
164,826.0,Rocksteady Studios,rocksteady-studios,1104451200.0,50.0
1207,,Level Infinity,level-infinity,,
1460,250.0,Plug In Digital,plug-in-digital,1356912000.0,
1752,392.0,Athena,athena,549504000.0,
2236,124.0,Freebird Games,freebird-games,,
2406,840.0,"Atari, Inc.",atari-inc,1052352000.0,12036.0
3114,840.0,GameHouse,gamehouse,915062400.0,21674.0
3158,,Knuckle Cracker,knuckle-cracker,,
3592,208.0,The LEGO Group,the-lego-group,,
56,840.0,Valve,valve,840844800.0,
594,250.0,Microïds,microids--1,504835200.0,
689,702.0,Garena,garena,1262217600.0,
918,840.0,Fullbright,fullbright,1488326400.0,
922,840.0,Paramount Pictures,paramount-pictures,-1819324800.0,5642.0
999,752.0,Coffee Stain Studios,coffee-stain-studios,1287619200.0,42782.0
1368,36.0,Impromptu Games,impromptu-games,,
1951,124.0,Silicon Knights,silicon-knights,725760000.0,
1963,392.0,G.rev,g-rev,,
2084,36.0,Wicked Witch Software,wicked-witch-software,1009756800.0,
2,124.0,BioWare,bioware,791596800.0,1.0
283,840.0,The Sims Studio,the-sims-studio,1167523200.0,1.0
291,528.0,Nixxes Software,nixxes-software,933465600.0,10100.0
400,392.0,SCE Japan Studio,sce-japan-studio,757296000.0,13634.0
748,826.0,Double Eleven,double-eleven,1293753600.0,
847,124.0,Ubisoft Toronto,ubisoft-toronto,1293753600.0,104.0
1118,124.0,Torn Banner Studios,torn-banner-studios,,
1243,348.0,NeocoreGames,neocoregames,1135987200.0,
1365,,Lucas Pope,lucas-pope,,
1744,,Human Entertainment,human-entertainment,,
405,250.0,Spiders,spiders,1230681600.0,
432,124.0,Beenox,beenox,978220800.0,66.0
434,840.0,High Moon Studios,high-moon-studios,1009756800.0,66.0
438,840.0,Infinity Ward,infinity-ward,1041292800.0,
659,840.0,Sledgehammer Games,sledgehammer-games,1238457600.0,66.0
739,392.0,Grezzo,grezzo,1164931200.0,
795,826.0,Ninja Theory,ninja-theory,1072915200.0,17966.0
897,,Ubisoft Red Storm,ubisoft-red-storm,,
1093,392.0,Chunsoft,chunsoft,473299200.0,
1274,392.0,Epoch,epoch,-368323200.0,
67,840.0,Petroglyph Games,petroglyph-games,1049155200.0,
255,840.0,ArenaNet,arenanet,978220800.0,256.0
1220,392.0,Crafts & Meister,crafts-meister,1086048000.0,8623.0
1532,840.0,Hopoo Games,hopoo-games,1356912000.0,
1663,826.0,Suspicious Developments,suspicious-developments,1356912000.0,
1864,840.0,High Impact Games,high-impact-games,1104451200.0,
2449,840.0,Stoic,stoic,1356912000.0,
2917,840.0,JumpButton Studio,jumpbutton-studio,1433116800.0,
2991,,Artificial Studios,artificial-studios,,
3207,578.0,Red Thread Games,red-thread-games,1346457600.0,
187,840.0,"Nerve Software, LLC",nerve-software-llc,1009756800.0,
261,250.0,Quantic Dream,quantic-dream,883526400.0,5501.0
294,840.0,Telltale Games,telltale-games,1086048000.0,
492,840.0,Atomic Games,atomic-games,631065600.0,132.0
613,840.0,2D Boy,2d-boy,,
722,840.0,343 Industries,343-industries,1183248000.0,17966.0
1179,840.0,Imangi Studios,imangi-studios,,
1715,826.0,Facepunch Studios,facepunch-studios,,
1798,392.0,SystemSoft,systemsoft,,
2015,392.0,Whoopee Camp,whoopee-camp,883526400.0,
150,840.0,Hidden Path Entertainment,hidden-path-entertainment,1136073600.0,
197,840.0,THQ,thq,599616000.0,
419,392.0,Project Aces,project-aces,,22721.0
1069,392.0,"SIMS Co., Ltd",sims-co-ltd,676684800.0,
1349,,Artificial Intelligence Design,artificial-intelligence-design,,
1531,826.0,22Cans,22cans,1329696000.0,
1666,826.0,Sega Europe,sega-europe,681004800.0,112.0
1869,,GOGAME,gogame,,
2177,724.0,Erbe Software,erbe-software,473299200.0,
2423,,SoMoGa,somoga,,
63,840.0,Pandemic Studios,pandemic-studios,915062400.0,1.0
249,276.0,Crytek,crytek,936144000.0,
431,840.0,Ready At Dawn,ready-at-dawn,1072828800.0,11586.0
457,250.0,Eugen Systems,eugen-systems,,
476,840.0,Matrix Games,matrix-games,946598400.0,8871.0
494,840.0,Battlefront.com,battlefront-com,883526400.0,
572,56.0,Appeal Studios,appeal-studios,820368000.0,10075.0
727,840.0,Oddworld Inhabitants,oddworld-inhabitants,788832000.0,
749,826.0,SCE Cambridge Studio,sce-cambridge-studio,867974400.0,2291.0
851,840.0,ZeniMax Online Studios,zenimax-online-studios,1199059200.0,245.0
111,826.0,The Creative Assembly,the-creative-assembly,556243200.0,112.0
397,250.0,Darkworks,darkworks,884217600.0,
828,392.0,Alfa System,alfa-system,,
942,,Graviteam,graviteam,,
1061,,Distractionware,distractionware,,
1095,392.0,Genius Sonority,genius-sonority,1022889600.0,
1109,752.0,Stunlock Studios,stunlock-studios,1293753600.0,
1414,,Nexon Co. Ltd.,nexon-co-ltd,,
1493,840.0,Crescent Moon Games,crescent-moon-games,1262217600.0,
1897,276.0,Ubisoft Berlin,ubisoft-berlin,1524700800.0,19099.0
113,840.0,Westwood Studios,westwood-studios,504835200.0,1.0
245,840.0,ZeniMax Media,zenimax-media,925516800.0,17966.0
510,56.0,Larian Studios,larian-studios,851990400.0,
864,392.0,Hudson Soft,hudson-soft,106531200.0,161.0
1025,392.0,Good-Feel,good-feel,1123027200.0,
1060,392.0,Vanillaware,vanillaware,1013126400.0,
2063,392.0,Arzest,arzest,1277424000.0,
2073,392.0,Toaplan,toaplan,291772800.0,
2191,,Funbox Media,funbox-media,,
2205,124.0,Big Blue Bubble,big-blue-bubble,,
57,124.0,Certain Affinity,certain-affinity,,
754,,Legacy Interactive,legacy-interactive,,
768,840.0,Nintendo Software Technology,nintendo-software-technology,915062400.0,2850.0
856,840.0,Unknown Worlds Entertainment,unknown-worlds-entertainment,1009756800.0,41542.0
906,702.0,Nabi Studios,nabi-studios,,
2154,276.0,Keen Games,keen-games,1116460800.0,
2407,,Apple Inc,apple-inc,,
2702,,Cyclone Zero,cyclone-zero,,
3108,,Endnight Games Ltd,endnight-games-ltd,,
3115,410.0,Bluehole Studio,bluehole-studio,1199059200.0,18506.0
5,840.0,Interplay Entertainment,interplay-entertainment,441676800.0,
322,392.0,Matrix Software,matrix-software,770428800.0,
680,840.0,Pipeworks Software,pipeworks-software,941414400.0,
1127,36.0,Infinite Interactive,infinite-interactive,,
1399,724.0,Novarama,novarama,1072828800.0,
1486,840.0,Strategic Simulations,strategic-simulations,315446400.0,
1660,,Dejobaan Games,dejobaan-games,,
1890,458.0,Nimbus Games,nimbus-games,1460937600.0,
2096,,Lightstorm Entertainment,lightstorm-entertainment,,
2499,840.0,Hi-Rez Studios,hi-rez-studios,,
468,124.0,Meridian4,meridian4,1104451200.0,
741,840.0,Toys for Bob,toys-for-bob,631065600.0,66.0
810,840.0,Iguana Entertainment,iguana-entertainment,694137600.0,
943,246.0,Colossal Order,colossal-order,1451606400.0,
1113,724.0,Tequila Works,tequila-works,1262217600.0,
1309,840.0,Avalanche Software,avalanche-software,812505600.0,50.0
1434,124.0,Alientrap Games Inc,alientrap-games-inc,1041292800.0,
1772,392.0,Marvelous AQL,marvelous-aql,1317427200.0,
1939,,Daewon Media,daewon-media,,
2081,124.0,Iron Tower Studio,iron-tower-studio,1104451200.0,8623.0
179,840.0,Activision Blizzard,activision-blizzard,1230681600.0,128.0
467,826.0,Digital Integration,digital-integration,410140800.0,9318.0
731,276.0,bitComposer Games,bitcomposer-games,1235865600.0,
1419,840.0,Harebrained Schemes,harebrained-schemes,1325289600.0,517.0
1433,840.0,Undead Labs,undead-labs,1262217600.0,17966.0
1552,276.0,Astragon,astragon,915062400.0,16437.0
1664,124.0,Doublespeak Games,doublespeak-games,,
1904,528.0,Team6 Game Studios,team6-game-studios,1009756800.0,
2197,840.0,Empty Clip Studios,empty-clip-studios,1181779200.0,
2277,276.0,Animation Arts,animation-arts,,
188,840.0,Apogee Software,apogee-software,567907200.0,
746,826.0,Media Molecule,media-molecule,1136332800.0,2289.0
805,124.0,Other Ocean Interactive,other-ocean-interactive,1167523200.0,21314.0
1062,250.0,Ivory Tower,ivory-tower,1199059200.0,7041.0
1921,,Shonen Jump,shonen-jump,,
2102,,Zoo Games,zoo-games,,
2992,643.0,Buka Entertainment,buka-entertainment,,157.0
3189,,"A Sharp, LLC",a-sharp-llc,,
3191,578.0,Rain Games,rain-games,,
3909,392.0,Nigoro,nigoro,1173830400.0,3912.0
10,840.0,LucasArts,lucasarts,662601600.0,13016.0
69,,Big Ape Productions,big-ape-productions,,
229,840.0,Sega of America,sega-of-america,510796800.0,112.0
279,826.0,4J Studios,4j-studios,1135987200.0,
1396,203.0,Amanita Design,amanita-design,1072828800.0,
1398,124.0,Capybara Games,capybara-games,1072828800.0,
1630,840.0,Nvidia,nvidia,733968000.0,
1653,528.0,Vlambeer,vlambeer,1283299200.0,
1836,124.0,Throwback Entertainment,throwback-entertainment,1167523200.0,
2145,392.0,Tango Gameworks,tango-gameworks,1267401600.0,41542.0
19,250.0,Arkane Studios,arkane-studios,938736000.0,245.0
36,752.0,Frictional Games,frictional-games,1167523200.0,
665,,Williams Entertainment,williams-entertainment,,
726,840.0,SCE Bend Studio,sce-bend-studio,757296000.0,
883,,8ing,8ing,,
937,124.0,WB Games Montréal,wb-games-montreal,1293753600.0,50.0
1510,,Colossal Order Ltd.,colossal-order-ltd,,
1642,724.0,Bit Managers,bit-managers,725760000.0,2112.0
2243,840.0,Hitcents,hitcents,915408000.0,
2255,826.0,Chillingo,chillingo,,28050.0
451,840.0,Terminal Reality,terminal-reality,780969600.0,
660,392.0,Capcom Production Studio 1,capcom-production-studio-1,946598400.0,37.0
902,276.0,Yager Development,yager-development,928195200.0,
940,752.0,Paradox Arctic,paradox-arctic,,517.0
1210,826.0,Gremlin Graphics,gremlin-graphics,473299200.0,
1759,392.0,Vanpool,vanpool,946598400.0,
2140,,Pepper Games,pepper-games,,
2478,36.0,Surprise Attack Games,surprise-attack-games,1374019200.0,
4191,,O-TWO Inc.,o-two-inc,,
4715,36.0,epiphany games,epiphany-games,,
348,826.0,Exient Entertainment,exient-entertainment,,
420,616.0,Flying Wild Hog,flying-wild-hog,1238544000.0,42785.0
603,840.0,Humongous Entertainment,humongous-entertainment,720403200.0,2039.0
826,392.0,Namco Tales Studio,namco-tales-studio,1047254400.0,6330.0
905,752.0,Overkill Software,overkill-software,1262217600.0,280.0
1056,276.0,Piranha Bytes,piranha-bytes,852076800.0,10075.0
1224,826.0,Introversion Software,introversion-software,1009756800.0,
1397,124.0,Superbrothers A/V Inc,superbrothers-a-slash-v-inc,1072828800.0,
1740,840.0,Parker Brothers,parker-brothers,-2713996800.0,9794.0
1767,392.0,Victor Interactive Software,victor-interactive-software,844128000.0,1771.0
93,392.0,Square Enix 1st Production Department,square-enix-1st-production-department,1283299200.0,26.0
1030,840.0,Bluepoint Games,bluepoint-games,1167523200.0,10100.0
1128,840.0,1st Playable Productions,1st-playable-productions,1112313600.0,
1271,826.0,Ocean Software,ocean-software,441763200.0,213.0
1987,,Genuine Games,genuine-games,,
2206,392.0,Shade,shade,,
2361,840.0,Seismic,seismic,,
2932,826.0,Ghostlight Ltd.,ghostlight-ltd,1104451200.0,
2950,276.0,Synetic,synetic,820454400.0,
3251,,TAKE OFF,take-off,,
68,840.0,Ensemble Studios,ensemble-studios,820368000.0,128.0
669,826.0,Spiral House,spiral-house,883612800.0,
836,392.0,Kadokawa Games,kadokawa-games,1238544000.0,7707.0
1922,392.0,Racjin,racjin,798076800.0,
1983,392.0,tri-Ace,tri-ace,795312000.0,
2024,840.0,Eidetic,eidetic,757296000.0,
2286,156.0,Original Force,original-force,946598400.0,
2752,,ScriptArts,scriptarts,,
2940,,BeeWorks,beeworks,,
3689,826.0,Roll7,roll7,1230681600.0,14035.0
264,,HanbitSoft,hanbitsoft,,
710,840.0,Mastiff,mastiff,,
1216,,Pyramid,pyramid,,
1463,276.0,Black Forest Games,black-forest-games,1356912000.0,10075.0
2399,,Redline Games,redline-games,,
2412,826.0,Toxic Games,toxic-games,,
2416,380.0,Raylight Games,raylight-games,,
2428,392.0,5pb.,5pb,1112745600.0,
2496,,BlueLine Game Studios,blueline-game-studios,,
2519,,Sears,sears,,
12,840.0,Black Isle Studios,black-isle-studios,828230400.0,5.0
183,840.0,Hasbro Interactive,hasbro-interactive,818380800.0,9794.0
287,840.0,Acclaim Entertainment,acclaim-entertainment,567907200.0,
299,124.0,Hellbent Games,hellbent-games,,
690,36.0,Torus Games,torus-games,788832000.0,
938,250.0,Coktel Vision,coktel-vision,504835200.0,489.0
1054,124.0,Next Level Games,next-level-games,1033430400.0,70.0
1438,,Office Create,office-create,,
2175,392.0,Artoon,artoon,935712000.0,2213.0
2363,,Technopop,technopop,,
27,124.0,Eidos Montréal,eidos-montreal,1175212800.0,71229.0
55,840.0,Turtle Rock Studios,turtle-rock-studios,1014940800.0,
865,392.0,Will,will,574992000.0,
1362,840.0,N-Fusion Interactive,n-fusion-interactive,,
1639,124.0,Cellar Door Games,cellar-door-games,,
4063,250.0,Limasse Five,limasse-five,,
4078,,Experis,experis,,
4713,246.0,Frogmind,frogmind,,
5307,203.0,Alda Games,alda-games,1388448000.0,
6373,,Gala Lab Corp.,gala-lab-corp,,
75,276.0,Factor 5,factor-5,567907200.0,
225,840.0,Lobotomy Software,lobotomy-software,757296000.0,667.0
335,392.0,Square Product Development Division 3,square-product-development-division-3,851990400.0,250.0
606,840.0,DreamForge Intertainment,dreamforge-intertainment,757296000.0,
1806,392.0,Bemani,bemani,883526400.0,129.0
1975,840.0,2K Sports,2k-sports,1106611200.0,8.0
2418,840.0,Renovation Products,renovation-products,,827.0
2452,840.0,Big Fish Studios,big-fish-studios,1041292800.0,2245.0
2482,643.0,Lesta Studio,lesta-studio,693360000.0,790.0
2730,,Anchor Inc,anchor-inc,,
1307,,Nick Games,nick-games,,
2209,392.0,Prope,prope,,
3055,,Felistella,felistella,,
3352,,Plaid Hat Games,plaid-hat-games,,
3712,826.0,Slitherine Software UK Ltd.,slitherine-software-uk-ltd,962668800.0,8871.0
4016,840.0,Minor Key Games,minor-key-games,,
4725,826.0,Alternative Software,alternative-software,504835200.0,
5676,208.0,Logic Artists,logic-artists,1325289600.0,
7621,,Cloud 9 Studio,cloud-9-studio,,
7789,826.0,SockMonkey Studios,sockmonkey-studios,,
327,840.0,Midway Games,midway-games,-347241600.0,
797,392.0,"h.a.n.d., Inc.",h-dot-a-n-dot-d-inc,899251200.0,
827,,Telenet Japan,telenet-japan,,
898,504.0,Ubisoft Casablanca,ubisoft-casablanca,891388800.0,104.0
1050,826.0,Mode 7,mode-7,1135987200.0,
1100,392.0,NDCube,ndcube,951868800.0,70.0
1178,,John Romero,john-romero,,
1294,,Gaelco,gaelco,,
1568,392.0,Ancient,ancient,638928000.0,
1714,826.0,The Bitmap Brothers,the-bitmap-brothers,567907200.0,
277,124.0,EA Canada,ea-canada,410313600.0,1.0
340,826.0,Empire Interactive,empire-interactive,567907200.0,
393,840.0,inXile Entertainment,inxile-entertainment,1029196800.0,17966.0
728,826.0,Just Add Water (Development) Ltd,just-add-water-development-ltd--1,1167523200.0,
782,392.0,Marvelous Entertainment,marvelous-entertainment,867196800.0,
921,752.0,Might and Delight,might-and-delight,1271376000.0,
963,124.0,Kerberos Productions,kerberos-productions,,
1166,,Softdisk Publishing,softdisk-publishing,,
1610,578.0,Innerloop Studios,innerloop-studios,,
1765,620.0,Nerd Monkeys,nerd-monkeys,,
72,840.0,Vicarious Visions,vicarious-visions,662601600.0,66.0
176,724.0,FX Interactive,fx-interactive,946598400.0,
293,826.0,TT Games,tt-games,1135987200.0,50.0
1102,392.0,"Mobile & Game Studio, Inc.",mobile-game-studio-inc,,13867.0
1964,,ESP Software,esp-software,,
2219,752.0,Zoink,zoink,1009756800.0,16337.0
3162,840.0,Night Dive Studios,night-dive-studios,1356912000.0,
3301,,Atari Europe,atari-europe,,12036.0
3668,826.0,Twilight,twilight,631065600.0,
3879,752.0,Collecting Smiles,collecting-smiles,,
1366,392.0,Nintendo EAD Software Development Group No.3,nintendo-ead-software-development-group-no-dot-3,1064880000.0,421.0
1490,,Phoenix,phoenix,,
1883,840.0,Vector Unit,vector-unit,1199059200.0,
2340,826.0,Codemasters Birmingham,codemasters-birmingham,1225497600.0,115.0
2379,392.0,Pony Canyon,pony-canyon,-102643200.0,3707.0
2497,840.0,Wolfire Games,wolfire-games,1072828800.0,
2884,208.0,Gears for Breakfast,gears-for-breakfast,1377993600.0,
2976,840.0,Autumn Games,autumn-games,1199059200.0,
3023,826.0,Virtual Programming,virtual-programming,978220800.0,
4994,,ArtCraft Entertainment,artcraft-entertainment,,
314,804.0,4A Games,4a-games,1135987200.0,946.0
356,826.0,Slightly Mad Studios,slightly-mad-studios,1262217600.0,115.0
1023,,Wizards of the Coast LLC,wizards-of-the-coast-llc,,
2309,,Ntreev Soft,ntreev-soft,,256.0
2389,124.0,Digital Leisure,digital-leisure,870393600.0,
2723,250.0,Streum On Studio,streum-on-studio,1184544000.0,110.0
2756,,Sony Pictures Television,sony-pictures-television,,
3188,840.0,Wormwood Studios,wormwood-studios,1293753600.0,
3923,392.0,Studio Pixel,studio-pixel,978220800.0,
4614,826.0,Tikipod,tikipod,1262217600.0,
216,840.0,Glu Mobile,glu-mobile,1009756800.0,28050.0
648,246.0,Mountain Sheep,mountain-sheep,,
916,,Cryptic Studios,cryptic-studios,,
917,840.0,Perfect World Entertainment,perfect-world-entertainment,1212278400.0,42782.0
1135,,KID,kid,,
1293,,Team Dakota,team-dakota,,
1395,124.0,Minmax Games,minmax-games,,
2619,208.0,Tactile Entertainment,tactile-entertainment,1366761600.0,
4415,,ProjectorGames,projectorgames,,
4677,,X-Legend,x-legend,,
250,392.0,Square,square,431222400.0,
773,392.0,Nintendo EAD Tokyo Software Development Group No.1,nintendo-ead-tokyo-software-development-group-no-dot-1,1064880000.0,421.0
831,392.0,Access Games,access-games,1041292800.0,
832,826.0,Rising Star Games,rising-star-games,1104451200.0,
